course_skill,best_esco,score
palliative care,palliative care,1.0
motivate employees,motivate employees,1.0
fundamental analysis,fundamental analysis,1.0
business intelligence (bi),business intelligence,1.0
game theory,game theory,1.0
environmental policy,environmental policy,1.0
dei strategic planning,strategic planning,0.998
customer relationship management (crm),customer relationship management,0.994
internet of things (iot),Internet of Things,0.988
computer graphics (cg),computer graphics,0.985
ai communication,communication,0.982
analyze financial statements,financial statements,0.973
earth economics,economics,0.967
design-thinking,design thinking,0.959
typescript typing,TypeScript,0.954
javascript async/await,JavaScript,0.954
graph algorithms,algorithms,0.954
javascript coding,JavaScript,0.953
bayesian statistics,statistics,0.951
greedy algorithms,algorithms,0.95
cell biology,biology,0.946
natural language processing with bert,natural language processing,0.938
plant biology,biology,0.938
quadrotor hardware components,hardware components,0.936
javascript syntax,JavaScript,0.936
javascript promises,JavaScript,0.936
renewable energy techologies,renewable energy,0.934
server-side javascript,JavaScript,0.932
recursive algorithms,algorithms,0.931
sorting algorithms,algorithms,0.93
javascript variables,JavaScript,0.927
organizational anthropology,anthropology,0.927
blockchain oracles,blockchain,0.927
discrete mathematics,mathematics,0.926
web services flask,web services,0.924
typescript syntax,TypeScript,0.924
machine learning regression,machine learning,0.921
applied mathematics,mathematics,0.921
optimization algorithms,algorithms,0.92
creating financial statements,financial statements,0.92
agile communication,communication,0.92
cobol coding,COBOL,0.92
machine learning fluency,machine learning,0.919
graphs algorithms,algorithms,0.915
disaster recovery plans,manage disaster recovery plans,0.915
cancer biology,biology,0.907
encryption algorithms,algorithms,0.907
generally accepted accounting principles,national generally accepted accounting principles,0.907
project management triangle,project management,0.905
graph database,database,0.901
human–computer interaction,human-computer interaction,0.9
asynchronous javascript,JavaScript,0.898
database indexing,database,0.898
bioinformatics algorithms,algorithms,0.895
networking hardware,ICT networking hardware,0.895
generative machine learning,machine learning,0.894
waterfall project management,project management,0.894
unsupervised machine learning,machine learning,0.893
molecular biology,biology,0.888
health policy analysis,policy analysis,0.886
functional javascript,JavaScript,0.885
lasso (statistics),statistics,0.882
marketing mix optimization,marketing mix,0.881
human computer interaction,human-computer interaction,0.881
database servers,database,0.879
virtual private network (vpn),implement a virtual private network,0.878
marketing channel,channel marketing,0.878
relational database management system (rdbms),operate relational database management system,0.874
string (computer science),computer science,0.873
dimensionality reduction,perform dimensionality reduction,0.873
arrays in javascript,JavaScript,0.873
machine learning operations (mlops),machine learning,0.872
website wireframe,create website wireframe,0.872
it asset management,asset management,0.872
legal project management,project management,0.87
algorithms on strings,algorithms,0.87
key performance indicators,track key performance indicators,0.869
communication efficace,communication,0.868
risk management plan,risk management,0.868
decentralization algorithms,algorithms,0.867
behavioral economics,economics,0.865
glossary of computer graphics,computer graphics,0.865
strategic thinking,apply strategic thinking,0.865
procurement,e-procurement,0.864
cobol divisions,COBOL,0.863
machine learning concepts,machine learning,0.861
software project management,project management,0.861
social media marketing,apply social media marketing,0.859
machine learning experiment tracking,machine learning,0.858
health economics,economics,0.855
threat intelligence,conduct threat intelligence,0.855
supportive communication,communication,0.854
machine learning pipeline fundamentals,machine learning,0.853
machine learning dataset fundamentals,machine learning,0.853
branding communication,communication,0.852
forensic accounting,perform forensic accounting,0.851
systems and design thinking,design thinking,0.85
embedded systems engineering,embedded systems,0.85
video conferencing,video conferencing tool,0.849
cloud asset management,asset management,0.849
security principles,data security principles,0.849
data clustering algorithms,algorithms,0.847
data cleansing,perform data cleansing,0.846
cloud architecture,design cloud architecture,0.846
teaching strategies,apply teaching strategies,0.846
consensus mechanisms,blockchain consensus mechanisms,0.845
database optimization,database,0.845
conflict management,apply conflict management,0.844
sustainable energy,promote sustainable energy,0.842
public health research,public health,0.842
psychological first aid,first aid,0.842
visualization (computer graphics),computer graphics,0.842
react (javascript library),JavaScript,0.841
computational biology,biology,0.84
market risk management,risk management,0.84
video editing,perform video editing,0.84
cloud cost management,cost management,0.839
blockchain mechanics,blockchain,0.838
machine learning pipeline creation,machine learning,0.838
machine learning modeling,machine learning,0.838
corporate governance,implement corporate governance,0.836
amazon web services basics,web services,0.836
crisis management,apply crisis management,0.835
change management,apply change management,0.835
summary statistics,statistics,0.835
quantitative research,conduct quantitative research,0.833
inferential statistics,statistics,0.832
penetration testing,penetration testing tool,0.831
marketing strategy,plan marketing strategy,0.831
information privacy,ensure information privacy,0.831
audio editing,audio editing software,0.83
javascript methods,JavaScript,0.829
data science strategy,data science,0.829
user interface,design user interface,0.829
social psychology,psychology,0.829
behavioral psychology,psychology,0.828
qualitative research,conduct qualitative research,0.828
real estate,real estate market,0.827
digital marketing,plan digital marketing,0.826
analysis of algorithms,algorithms,0.826
artificial neural network,artificial neural networks,0.825
emotional intelligence,have emotional intelligence,0.825
effective communication,communication,0.823
financial risk,manage financial risk,0.822
divide and conquer algorithms,algorithms,0.821
smart contracts,implement smart contracts,0.821
recommender systems,build recommender systems,0.82
digital marketing kpis,plan digital marketing,0.82
software testing,plan software testing,0.819
basis of accounting,accounting,0.819
cloud-based machine learning,machine learning,0.819
six sigma,six sigma methods,0.818
javascript data structures,JavaScript,0.818
search algorithms,algorithms,0.818
business case,develop business case,0.817
gcp infrastructure,ICT infrastructure,0.816
decision support system,utilise decision support system,0.816
wind energy engineering,wind energy,0.814
software architecture,define software architecture,0.813
automated machine learning,machine learning,0.813
computer network,design computer network,0.812
case management,apply case management,0.812
ethical hacking,ethical hacking principles,0.811
technology strategy,define technology strategy,0.809
supply chain risk management,supply chain management,0.808
machine learning interpretation,machine learning,0.807
supply chain,supply chain management,0.807
machine learning use cases,machine learning,0.806
media planning and strategies,media planning,0.806
brand identity,define brand identity,0.806
resource management,human resource management,0.805
database normalization,database,0.805
talent management,talent management strategies,0.805
international relations,build international relations,0.804
machine learning classification,machine learning,0.804
data warehouse architecture,data warehouse,0.803
user interface design (ui design),design user interface,0.803
configuration management,project configuration management,0.803
lean project management,project management,0.803
management accounting,accounting,0.802
credit score,consult credit score,0.802
image processing,digital image processing,0.801
machine learning applied to finance,machine learning,0.801
implement responsible machine learning,machine learning,0.8
database management,database management systems,0.799
project risk management,risk management,0.799
database security,maintain database security,0.798
database scalability,database,0.798
mixed methods market research,market research,0.797
research methodology,scientific research methodology,0.797
javascript package management,JavaScript,0.797
customer experience,manage the customer experience,0.797
relational database management syste (rdbms),operate relational database management system,0.796
data science roadmaps,data science,0.796
big data,analyse big data,0.795
data architecture,manage ICT data architecture,0.794
knowledge of human behavior,apply knowledge of human behaviour,0.794
personality development,personality development theories,0.792
content creation,digital content creation,0.792
understand operational risk key risk indicators (kris),key risk indicators,0.791
manage azure resources for machine learning,machine learning,0.791
managing machine learning production systems,machine learning,0.789
bond market,monitor bond market,0.789
relational data models,data models,0.786
software design,create software design,0.786
integration testing,execute integration testing,0.785
zero trust algorithms,algorithms,0.785
accounting software,accounting,0.784
understanding smart contract risk,smart contract,0.783
content marketing,content marketing strategy,0.783
identity management (idm),digital identity management,0.782
human resources (hr),hire human resources,0.782
communication design,communication,0.782
email marketing,execute email marketing,0.782
artificial intelligence (ai),principles of artificial intelligence,0.78
database fundamentals,database,0.78
brand marketing,brand marketing techniques,0.78
artificial intelligence (a.i.),principles of artificial intelligence,0.78
risk analysis,perform risk analysis,0.779
domain name system (dns),domain name service,0.779
content development,content development processes,0.779
probability and statistics,statistics,0.777
environmental impact assessment,assess environmental impact,0.777
email marketing analytics,marketing analytics,0.776
financial accounting,accounting,0.775
basic algorithms,algorithms,0.775
disaster recovery,manage disaster recovery plans,0.773
intellectual property,manage intellectual property rights,0.773
geographic information system (gis),geographic information systems,0.773
business accounting,accounting,0.773
accounting analysis,accounting,0.771
c++ copy and move semantics,semantics,0.771
information security (infosec),ensure information security,0.77
data analysis,perform data analysis,0.77
pricing economics,economics,0.77
business psychology,psychology,0.77
database (db) design,database,0.77
planning and project management,project management,0.769
business ethics,ethics,0.769
natural language toolkit (nltk),natural language processing,0.768
object-oriented design,object-oriented modelling,0.767
copywriting,perform copywriting,0.767
mental health,promote mental health,0.765
cloud migration,migration,0.765
quantitative data visualization,manage quantitative data,0.764
computer programs/algorithms,algorithms,0.763
customer satisfaction,guarantee customer satisfaction,0.762
e-commerce,e-commerce systems,0.761
cost–benefit analysis,provide cost benefit analysis reports,0.761
business processes and requirements,business processes,0.76
automated machine learning (automl),machine learning,0.76
market (economics),economics,0.759
competition,competition law,0.756
embedded c,embedded systems,0.756
data cleansing (pembersihan data),perform data cleansing,0.756
social media,social media management,0.755
safety,ICT safety,0.755
employment,employment law,0.754
machine learning engineering for production,machine learning,0.754
devops documentation,DevOps,0.754
cloud architecture proficiency,design cloud architecture,0.753
public health interventions,public health,0.751
consensus algorithms,algorithms,0.751
return on investment,advise on investment,0.751
search algorithms in c++,algorithms,0.751
insurance,insurance law,0.75
analytics,data analytics,0.75
backups,perform backups,0.75
cyber-security regulation,cyber security,0.748
justice,social justice,0.748
machine learning ops troubleshooting,machine learning,0.748
art history,history,0.747
information security analyst,ensure information security,0.747
customer psychology,psychology,0.747
machine learning framework fundamentals,machine learning,0.747
contracts,manage contracts,0.747
fashion e-commerce,e-commerce systems,0.747
devops engineering,DevOps,0.746
surveillance,surveillance methods,0.746
health care,health care system,0.746
legal issues of artificial intelligence,principles of artificial intelligence,0.745
financial services,offer financial services,0.745
business strategy,business strategy concepts,0.745
javascript functions,JavaScript,0.744
understanding corporate financial statements,financial statements,0.741
communication strategy,communication,0.741
customer engagement,apply customer engagement strategy,0.741
statistics for marketing,statistics,0.741
multimedia,multimedia systems,0.741
data science methodology,data science,0.74
inclusion,promote inclusion,0.74
journalism,digital journalism,0.74
scala programming,Scala,0.738
network security,ICT network security risks,0.738
confidentiality,information confidentiality,0.738
computer vision,develop computer vision system,0.737
user-centered design,use methodologies for user-centered design,0.737
forecasting,financial forecasting,0.737
process control,statistical process control,0.737
aws database services,database,0.737
nosql databases,use databases,0.736
classification algorithms,algorithms,0.736
search engine optimization,conduct search engine optimisation,0.735
search engine optimization (seo),conduct search engine optimisation,0.735
data collection,manage data collection systems,0.735
expertise in data science,data science,0.734
blockchain (database),blockchain,0.734
engineering,data engineering,0.732
cloud services,develop with cloud services,0.732
balance sheet,perform balance sheet operations,0.732
machine learning (ml) algorithms,machine learning,0.731
cost-benefit analysis,provide cost benefit analysis reports,0.731
communication skills,apply technical communication skills,0.73
anatomy,human anatomy,0.73
federal tax returns,inspect tax returns,0.73
css frameworks,software frameworks,0.73
organizational structure,organisational structure,0.729
business process,business process modelling,0.729
data science use cases,data science,0.729
object-oriented programming (oop),object-oriented modelling,0.728
cobol structure,COBOL,0.728
environmental economics,economics,0.728
marketing plan,execute marketing plan,0.728
copyright,copyright legislation,0.728
software design pattern,use software design patterns,0.728
javascript exception handling,JavaScript,0.728
machine learning system architectures,machine learning,0.727
science,data science,0.727
feedforward neural networks,artificial neural networks,0.727
oltp databases,use databases,0.726
cloud database,database,0.726
encryption algorithms and techniques,algorithms,0.726
methodology,5S methodology,0.725
brand communication,communication,0.725
professional development,manage personal professional development,0.725
describe features of natural language processing (nlp) workloads on azure,natural language processing,0.725
application to personal finances,manage personal finances,0.724
test automation,tools for ICT test automation,0.724
data cleansing and exploration,perform data cleansing,0.723
• create simple javascript code,JavaScript,0.723
logistics planning,logistics,0.723
null character,assess character,0.723
orchestrator user interface,design user interface,0.723
quantitative data analysis,manage quantitative data,0.723
financial statement analysis,financial analysis,0.722
bookkeeping,bookkeeping regulations,0.722
unity (user interface),design user interface,0.722
data security,data security principles,0.721
react design patterns,blockchain design patterns,0.721
continuous improvement,continuous improvement philosophies,0.721
screenwriting,screenwriting theories,0.72
transformation and loading (etl),"data extraction, transformation and loading tools",0.719
extraction,information extraction,0.719
statistical analysis,statistical analysis system software,0.719
graphics,design graphics,0.718
ai algorithms in python,algorithms,0.718
customer experience (cx) design,manage the customer experience,0.717
marketing digital,plan digital marketing,0.717
machine learning model lifecycle,machine learning,0.716
hr lifecycle,procurement lifecycle,0.716
ai terminology,legal terminology,0.716
basic statistics,statistics,0.716
research technology trends,monitor technology trends,0.716
nosql and big data,analyse big data,0.715
privileged identity management,digital identity management,0.715
strategies in teaching,apply teaching strategies,0.715
troubleshooting,perform ICT troubleshooting,0.715
python programming,Python (computer programming),0.715
data science business context,data science,0.714
consulting,management consulting,0.714
statistical modeling fundamentals,statistical modeling techniques,0.713
classification,medication classification,0.713
manufacturing process,manufacturing processes,0.712
open source,operate open source software,0.712
data mining algorithms,algorithms,0.711
infrastructure as a service,ICT infrastructure,0.71
nlp models,data models,0.71
swift programming,Swift (computer programming),0.709
social media marketing strategy,apply social media marketing,0.709
science communication,communication,0.708
list comprehension,product comprehension,0.708
recurrent neural networks,artificial neural networks,0.707
data architecture fluency,manage ICT data architecture,0.707
user interface techniques,design user interface,0.707
scope (project management),project management,0.706
evaluation,plan evaluation,0.706
machine learning model evaluation and optimization,machine learning,0.705
data warehousing,implement data warehousing techniques,0.705
asset accounting,accounting,0.705
google analytics,data analytics,0.704
unit testing,perform software unit testing,0.703
technical communication,apply technical communication skills,0.703
lean six sigma,six sigma methods,0.703
human resources management,hire human resources,0.703
embedded system design,system design,0.702
schedule (project management),project management,0.702
forensics,computer forensics,0.702
simulation,computer simulation,0.702
azure blob storage,data storage,0.702
research methods,investigation research methods,0.701
disease surveillance,surveillance methods,0.701
blockchain technology implementation,develop blockchain technology,0.7
probabilistic neural networks,artificial neural networks,0.699
business case analysis,develop business case,0.699
credit risk,apply credit risk policy,0.698
general statistics,statistics,0.698
financial ratio analyses & forecasting techniques,financial forecasting,0.698
social return on investment (sroi),advise on investment,0.697
problem solving,apply problem solving in social service,0.697
cloud infrastructure,ICT infrastructure,0.697
object-oriented python,object-oriented modelling,0.697
real estate finance,real estate market,0.696
leadership,leadership principles,0.696
stock,stock market,0.696
qualitative and quantitative research,conduct quantitative research,0.696
feedback loops,manage feedback,0.695
database application,database,0.695
java programming,Java (computer programming),0.695
child psychology,psychology,0.694
interaction (statistics),statistics,0.694
sql databases in azure,use databases,0.694
workflow of machine learning projects,machine learning,0.694
object-oriented programming basics,object-oriented modelling,0.693
convolutional neural networks,artificial neural networks,0.693
investment,investment analysis,0.693
data quality,data quality assessment,0.693
teamwork,teamwork principles,0.693
javascript object methods,JavaScript,0.692
informatics,medical informatics,0.692
gan evaluation,plan evaluation,0.692
health system analysis,perform system analysis,0.692
privacy,maintain privacy,0.69
agile frameworks,software frameworks,0.69
education,education law,0.69
implement climate-aware investment decisions,make investment decisions,0.689
ethical issues of artificial intelligence,principles of artificial intelligence,0.689
visual communication,communication,0.689
innovation,innovation processes,0.688
infrastructure as code,ICT infrastructure,0.688
sensor manufacturing,manufacturing processes,0.687
six sigma green belt,six sigma methods,0.687
advertising,advertising techniques,0.687
skills management,own management skills,0.687
object-oriented analysis and design,object-oriented modelling,0.686
resilience,organisational resilience,0.686
usability,application usability,0.685
data infrastructure basics,ICT infrastructure,0.685
sustainability,corporate sustainability,0.685
supply chain sourcing,supply chain management,0.685
warehouse management,identify software for warehouse management,0.684
data analysis with r,perform data analysis,0.684
option pricing and risk management,risk management,0.684
sampling statistics,statistics,0.684
foreign currency risk management,risk management,0.684
c programming,web programming,0.683
english grammar,grammar,0.683
azure log analytics,data analytics,0.683
emergency,emergency psychology,0.683
network security with azure,ICT network security risks,0.682
analyze metrics,software metrics,0.682
monitor and troubleshoot azure solutions,troubleshoot,0.682
accounting cycle,accounting,0.682
supply chain strategy,supply chain management,0.681
financial statement,financial statements,0.681
intellectual property integration,manage intellectual property rights,0.681
human rights and allyship,promote human rights,0.68
asset,asset management,0.68
accounting analytics,accounting,0.68
t5+bert models,data models,0.679
debugging,ICT debugging tools,0.679
computer-aided engineering (cae),utilise computer-aided software engineering tools,0.678
risk management of supply chain finance,supply chain management,0.678
social media bidding,social media management,0.678
digital collaboration,digital communication and collaboration,0.677
deploy and operationalize machine learning solutions,machine learning,0.676
digital supply chain,supply chain management,0.676
control flow in javascript,JavaScript,0.675
financial mismanagement,financial management,0.675
behavioral design patterns,blockchain design patterns,0.675
public health surveillance,public health,0.675
pricing,market pricing,0.675
product life cycles,product life-cycle,0.675
microsoft azure,Microsoft Visual C++,0.674
evidence-based practice,evidence-based approach in general practice,0.673
market-based pricing,market pricing,0.673
psoc programming,web programming,0.673
project,project management,0.672
web development tools,database development tools,0.672
flash loans,analyse loans,0.671
service-oriented architecture,service-oriented modelling,0.67
development,social development,0.67
self-awareness,disorders affecting self-awareness,0.67
form recognition,image recognition,0.67
information design,design information system,0.67
debt,debt systems,0.67
object-oriented javascript,object-oriented modelling,0.669
application security,web application security threats,0.668
big data fluency,analyse big data,0.668
economy,political economy,0.667
training neural networks,artificial neural networks,0.667
manufacturing engineer,manufacturing processes,0.667
workflow,develop ICT workflow,0.667
music,study music,0.666
cybersecurity risk management,risk management,0.666
r programming,web programming,0.666
operating system security,manage system security,0.665
tech leadership,leadership principles,0.664
humanitarian,manage humanitarian aid,0.664
graphic arts,graphic design,0.664
finance,public finance,0.664
planning,media planning,0.664
notation,musical notation,0.663
cloud storage,manage cloud data and storage,0.663
social engineering,execute social engineering tests,0.663
unified modeling language (uml),unified modelling language,0.663
supply chain planning,supply chain management,0.662
documentation,documentation types,0.662
pythonic design patterns,blockchain design patterns,0.662
scrum methodology,5S methodology,0.661
governance,internet governance,0.661
cognitive bias,cognitive psychology,0.66
electronic circuits,electronic business,0.66
media literacy,media and information literacy,0.66
programming language concepts,translate language concepts,0.66
agile metrics,software metrics,0.659
option terminology,legal terminology,0.659
vectors,attack vectors,0.659
learning,machine learning,0.659
sql queries,test ICT queries,0.658
queries,test ICT queries,0.658
private equity,private law,0.658
electricity systems,electricity market,0.657
process assessment,assessment processes,0.657
microsoft excel,Microsoft Visual C++,0.657
building data science teams,data science,0.657
cloud architecture model types,design cloud architecture,0.657
user interface automation,design user interface,0.656
agile leadership,leadership principles,0.656
metadata,manage content metadata,0.655
natural language extraction,natural language processing,0.655
staff management,manage staff,0.655
analytic frameworks,software frameworks,0.655
tiktok advertising,advertising techniques,0.655
business and process analysis,business analysis,0.655
statistical methods,apply control process statistical methods,0.654
migration and innovation,migration,0.654
web service,web services,0.654
banking,banking activities,0.654
relational database,operate relational database management system,0.654
cognos analytics,data analytics,0.653
natural language generation,natural language processing,0.653
ibm cognos analytics,data analytics,0.653
open web application security project (owasp),web application security threats,0.652
cyber attack,cyber attack counter-measures,0.652
technology,computer technology,0.651
ai governance,internet governance,0.651
column structure,information structure,0.65
computer vision fluency,develop computer vision system,0.65
read legal documents,revise legal documents,0.65
private blockchain,blockchain,0.65
microsoft excel vba,Microsoft Visual C++,0.65
transparency,ensure information transparency,0.649
sel in curriculum,curriculum standards,0.649
microsoft word,Microsoft Visual C++,0.649
competitiveness,ensure price competitiveness,0.649
object-oriented design patterns,object-oriented modelling,0.649
computer-aided manufaturing,use computer-aided translation,0.649
cloud migration strategy,migration,0.648
competition (economics),economics,0.648
qualitative and quantitative data analysis,manage quantitative data,0.648
generate data protection regulation (gdpr),data protection,0.648
accounting terminology,accounting,0.647
serial line internet protocol (slip),maintain internet protocol configuration,0.647
medical device,advise on medical device features,0.647
cloud security in azure,cloud security and compliance,0.647
embedded software,embedded systems,0.647
music notation,musical notation,0.647
cloud compliance,cloud security and compliance,0.647
dolor assessment,assessment processes,0.647
manufacturing process management,manufacturing processes,0.646
cost,cost management,0.646
digital marketing metrics,plan digital marketing,0.646
data analysis process,perform data analysis,0.646
inacsl standards,quality standards,0.645
financial aid management,financial management,0.645
target audience,meet expectations of target audience,0.645
language,sign language,0.645
facial recognition,image recognition,0.645
leadership dynamics,leadership principles,0.644
team management,manage a team,0.643
ai transparency,ensure information transparency,0.642
azure synapse analytics,data analytics,0.642
binary classification,medication classification,0.642
blockchain transactions,blockchain,0.641
api development,social development,0.641
computing,scientific computing,0.641
botanical safety,ICT safety,0.641
business analysis skills and knowledge,business analysis,0.641
fundraising,manage fundraising activities,0.64
robot operating system,operating systems,0.64
python syntax and semantics,semantics,0.64
web application,web application security threats,0.64
cloud security in aws,cloud security and compliance,0.639
supervision,supervision of persons,0.639
e-commerce strategy,e-commerce systems,0.639
inductive transfer,risk transfer,0.638
servant leadership,leadership principles,0.638
entity recognition,image recognition,0.637
prototype,develop software prototype,0.636
positive psychology,psychology,0.636
cloud security strategy,information security strategy,0.636
email marketing strategy,execute email marketing,0.635
agile supply chain planning,supply chain management,0.635
sensor architecture,information architecture,0.635
midi programming,computer programming,0.635
financial data analysis,financial analysis,0.635
image pre-processing,digital image processing,0.634
visualisation des données (dataviz),data visualisation software,0.634
critical thinking,design thinking,0.633
ethica hacking,ethical hacking principles,0.633
markup language,use markup languages,0.633
content management,use content management system software,0.633
use linkedin campaign manager to optimize b2b advertising campaigns,coordinate advertising campaigns,0.633
information technology (it) architecture,information architecture,0.633
hidden markov models,data models,0.633
accessibility,ICT accessibility standards,0.632
deep learning,machine learning,0.632
health insurance,insurance law,0.632
sustainable eating,sustainable technologies,0.632
social media branding,social media management,0.632
artifical intelligence,business intelligence,0.631
data and data architecture strategy,manage ICT data architecture,0.631
process capability,financial capability,0.631
dynamic programming,computer programming,0.63
android activity lifecycle,procurement lifecycle,0.63
mathematical logic,mathematical modelling,0.63
data generating process,process data,0.63
competence (human resources),hire human resources,0.63
predictive analytics,data analytics,0.63
database architecture,database,0.629
regular expression (regex),utilise regular expressions,0.628
serverless architecture,information architecture,0.628
writing,writing techniques,0.627
implement azure security,implement ICT security policies,0.627
natural language entity extraction,natural language processing,0.626
marketing,marketing management,0.626
creating metrics,software metrics,0.626
expense control,control of expenses,0.626
linear programming (lp),computer programming,0.625
metadata management,manage content metadata,0.624
cluster models,data models,0.624
corporate accouting,corporate law,0.624
business ecosystem,ecosystem management,0.624
computer-aided design (cad),use computer-aided translation,0.623
application programming interfaces (api),design application interfaces,0.623
global strategy,integrate marketing strategies with the global strategy,0.623
hardware description language (hdl),use interface description language,0.622
data visualization software,data visualisation software,0.622
digital image keypoint descriptors,digital image processing,0.622
organizational culture,advise on organisational culture,0.622
energy,wind energy,0.621
bias detection,fraud detection,0.621
basic descriptive statistics,statistics,0.621
accounts payable management,manage accounts,0.621
mobile data management,mobile device management,0.621
google analytics dashboards,data analytics,0.621
aerospace engineering,data engineering,0.621
market segmentation,customer segmentation,0.621
management,risk management,0.62
curriculum design,curriculum standards,0.62
software metric,software metrics,0.62
risk management: scenario and sensitivity analysis,risk management,0.62
ux research,market research,0.62
computer troubleshooting,perform ICT troubleshooting,0.62
budget,update budget,0.62
defining leadership,leadership principles,0.62
ui design,software UI design patterns,0.62
policy development,foreign affairs policy development,0.619
corporate branding,corporate law,0.619
scratch (programming language),Scratch (computer programming),0.619
exploratory data analysis,perform data analysis,0.618
network troubleshooting,perform ICT troubleshooting,0.618
business competition,competition law,0.617
sharing insights with stakeholders,communicate with stakeholders,0.617
feature engineering,data engineering,0.617
marketing kpis,marketing management,0.617
database administration,database,0.617
unreal engine (user interface),design user interface,0.617
emergency medicine,emergency psychology,0.617
financial risk modeling,manage financial risk,0.616
public health and wellness healthcare organization operations,public health,0.616
audit,audit techniques,0.616
microsoft excel macro,Microsoft Visual C++,0.615
schedule,create media schedule,0.615
segmentation analysis,customer segmentation,0.615
internet,internet governance,0.615
multitier architecture,information architecture,0.615
analysis,market analysis,0.615
kernel programming,computer programming,0.614
hardware,hardware components,0.614
exploratory data analysis (eda),perform data analysis,0.614
wireframe,create website wireframe,0.613
innovation pipeline,innovation processes,0.613
logic programming,computer programming,0.613
mathematical induction,mathematical modelling,0.613
agile governance,internet governance,0.613
networking,ICT networking hardware,0.613
competitive lifecycle,procurement lifecycle,0.611
activation metrics,software metrics,0.611
feature extraction,information extraction,0.61
general data protection regulation (gdpr),data protection,0.61
music mixing,study music,0.61
setting up your development environment,integrated development environment software,0.61
interactive storytelling,interactive media,0.61
data lifecycle management,procurement lifecycle,0.609
display advertising,advertising techniques,0.609
c++ libraries,use software libraries,0.609
meta learning,machine learning,0.609
application design,design application interfaces,0.608
scripting,use scripting programming,0.608
monitoring and logging,cloud monitoring and reporting,0.608
accounting for liabilities and equity,accounting,0.608
administrative controls,manage administrative systems,0.608
marketing content development,content development processes,0.608
screen scraping,screen clients,0.607
deployment pipelines,solution deployment,0.606
experiment metrics,software metrics,0.606
business kpis,business analysis,0.606
agile methodologies,ICT sales methodologies,0.606
use qualitative and quantitative research methodologies,conduct quantitative research,0.605
systems thinking,design thinking,0.605
mathematical optimization,mathematical modelling,0.605
reformer models,data models,0.605
industry 4.0,publishing industry,0.605
system administration,education administration,0.605
microservices architecture design,design cloud architecture,0.605
spam detection,fraud detection,0.604
network security fundamentals,ICT network security risks,0.603
intercultural communication,communication,0.603
engineering management,data engineering,0.603
abstract thinking,design thinking,0.603
data structure,information structure,0.603
design,system design,0.601
interactive visualization,interactive media,0.601
cloud security fluency,cloud security and compliance,0.601
advocacy,supervise advocacy work,0.6
mechanical engineering,data engineering,0.6
leadership & management,leadership principles,0.6
named-entity recognition,image recognition,0.599
dependency injection,dependency on drugs,0.599
tableau interactive dashboards,interactive media,0.599
bayesian game,game theory,0.599
python programming skills,Python (computer programming),0.599
environmental law,environmental policy,0.598
