course_skill,best_esco,score
meta learning,use learning strategies,0.69
data warehouse,clean warehouse,0.69
search advertising,advertising techniques,0.689
crowdfunding,create a crowdfunding campaign,0.689
generator,operate signal generator,0.689
recurrent neural networks,artificial neural networks,0.688
money management,count money,0.687
user interviews,give interviews to media,0.687
language,body language,0.687
blockchain,blockchain applications,0.687
accounting cycle,accounting,0.687
graphics,motion graphics,0.685
schedule,plan schedule,0.685
file i/o,type of file,0.684
quantitative data analysis,quantitative analysis,0.684
relational database management system (rdbms),database,0.684
law enforcement access,teach law enforcement principles,0.683
social media platforms,social media marketing techniques,0.683
performance,conduct performance tests,0.682
data science roadmaps,data science,0.682
statistical methods,apply control process statistical methods,0.682
business analytics,business intelligence,0.682
financial data analysis,collect financial data,0.682
recording in studio,plan audiovisual recording,0.681
mathematics,mathematics,0.681
mapping,collect mapping data,0.681
energy,energy market,0.68
strategies in teaching,apply teaching strategies,0.68
sustainability reporting & esg metrics,lead the sustainability reporting process,0.68
financial risk modeling,manage financial risk,0.679
digital marketing kpis,plan digital marketing,0.679
cloud availability,ensure equipment availability,0.678
health insurance,process medical insurance claims,0.678
music notation,musical notation,0.678
training neural networks,artificial neural networks,0.678
database normalization,maintain freelance database,0.677
safety,safety engineering,0.677
troubleshooting & debugging,perform ICT troubleshooting,0.677
documentation,provide technical documentation,0.676
coaching,coaching techniques,0.676
• coaching,coaching techniques,0.676
thermodynamics,thermodynamics,0.675
revenue management,manage revenue,0.674
object state estimation,state estimation,0.674
video game development,video-games trends,0.674
diversified portfolio,manage portfolio,0.674
java database connectivity (jdbc),maintain freelance database,0.673
global strategy,integrate marketing strategies with the global strategy,0.673
questioning,use questioning techniques,0.673
consulting,use consulting techniques,0.672
economics,economics,0.671
database application,maintain freelance database,0.671
financial ratio,financial capability,0.671
portfolio (finance),manage portfolio,0.671
waterfall project management,perform project management,0.671
medical device,medical devices materials,0.67
data-informed decision-making,participatory decision-making,0.67
credit card debt,credit card payments,0.67
electronic circuits,assemble electronic units,0.67
basic programming language,apply basic programming skills,0.669
professional development,conduct continuing professional development workshops,0.669
aws database services,maintain freelance database,0.668
nutrition,conduct nutrition research,0.668
risk identification,risk identification,0.668
channel management,channel marketing,0.668
digitalization in fashion,trends in fashion,0.667
legal project management,perform project management,0.667
psychology,school psychology,0.666
ios app development,development delays,0.666
physics,physics,0.666
accounting analytics,accounting,0.666
asset,asset management,0.666
understanding corporate financial statements,prepare financial statements,0.665
convolutional neural networks,artificial neural networks,0.665
data quality,implement data quality processes,0.665
meeting,write meeting reports,0.665
research methodology,scientific research methodology,0.665
team management,manage a team,0.665
content development,content development processes,0.663
glossary of computer graphics,computer graphics,0.663
cloud operational efficiency,provide operational efficiency training to employees,0.662
portfolio pour la recherche d'emploi,manage portfolio,0.662
search engine optimization,conduct search engine optimisation,0.661
presentation,prepare presentation material,0.661
information security (infosec),ensure information security,0.661
project management triangle,perform project management,0.661
documents,digitise documents,0.66
feedforward neural networks,artificial neural networks,0.66
target audience,meet expectations of target audience,0.66
automation,design automation components,0.66
cloud databases,search databases,0.659
job portfolio,manage portfolio,0.659
data science methodology,data science,0.658
portfolio construction,manage portfolio,0.658
audio recording,coordinate activities in audio recording studio,0.658
creating a compelling project business case,develop business case,0.658
accounts payable and payroll,manage payroll,0.658
social marketing,apply social media marketing,0.657
etika data,process data,0.657
financial adviser,financial capability,0.657
financial statement analysis,financial statements,0.657
animal,animal species,0.657
use linkedin campaign manager to optimize b2b advertising campaigns,coordinate advertising campaigns,0.656
low fidelity prototypes,design prototypes,0.656
radar,operate radar equipment,0.656
greek mythology,Greek,0.655
politics,politics,0.655
business and process analysis,perform business analysis,0.655
science,data science,0.655
website structure,manage website,0.655
computer-aided manufacturing,use computer-aided translation,0.655
curriculum design,curriculum objectives,0.654
logistics planning,manage logistics,0.654
forensics,use technology for forensics,0.654
portfolio de trabajo,manage portfolio,0.654
search engine optimization (seo),conduct search engine optimisation,0.653
security,security threats,0.653
database security,maintain freelance database,0.652
unsupervised learning,machine learning,0.651
high fidelity prototypes,design prototypes,0.651
accounting terminology,accounting,0.651
strategic foresight,strategic planning,0.651
surveillance,handle surveillance equipment,0.651
portfolio preparation,manage portfolio,0.651
python trees,climb trees,0.65
procurement,procurement legislation,0.65
bond market,market analysis,0.649
syntax,grammar,0.649
r syntax,grammar,0.649
quantum mechanics,mechanics,0.648
information privacy,maintain privacy,0.648
database vulnerabilities,maintain freelance database,0.648
business accumen,business processes,0.648
segmentation analysis,customer segmentation,0.647
social entrepreneurship,entrepreneurship,0.647
surgery,oral surgery,0.647
crisis management,educate on emergency management,0.646
competition (economics),competition law,0.646
backend development,development delays,0.645
data pipelines,repair pipelines,0.644
pricing to competition,competition law,0.644
visual storytelling,visual disability,0.644
contracts,manage contracts,0.644
social media branding,social media marketing techniques,0.644
data science use cases,data science,0.644
aerospace engineering,aerospace engineering,0.643
probabilistic neural networks,artificial neural networks,0.642
expertise in data science,data science,0.642
devops engineering,aerospace engineering,0.642
camera model,cameras,0.642
information security analyst,ensure information security,0.641
content management,use content management system software,0.641
career,provide career counselling,0.64
computer troubleshooting,perform ICT troubleshooting,0.64
teaching,advise on teaching methods,0.64
lean project management,perform project management,0.64
epidemiology,epidemiology,0.64
research technology trends,monitor technology trends,0.64
emergency management,educate on emergency management,0.639
video,operate video equipment,0.639
solar systems,maintain solar energy systems,0.639
social media bidding,social media marketing techniques,0.639
marketing,execute marketing plan,0.639
digital image keypoint descriptors,digital image processing,0.638
monte carlo methods dynamic programming,Monte Carlo simulation,0.638
azure synapse analytics,data analytics,0.638
display advertising,advertising techniques,0.637
android ui development,development delays,0.637
use qualitative and quantitative research methodologies,conduct quantitative research,0.637
azure automation,design automation components,0.637
ml pipelines and mlops,repair pipelines,0.637
application routing,call routing,0.637
strategic management,implement strategic management,0.637
social media presence,social media marketing techniques,0.636
privacy compliance,maintain privacy,0.636
cryptographic hardware,hardware industry,0.636
z systems,mechanical systems,0.635
blockchain oracles,blockchain applications,0.634
economy,circular economy,0.634
management,apply change management,0.634
market segmentation,customer segmentation,0.634
quality management,support implementation of quality management systems,0.633
read music notation,musical notation,0.632
behavior,behavioural science,0.632
studio,assess studio production,0.632
mathematical finance,mathematical modelling,0.632
portfolio theories,manage portfolio,0.632
software project management,perform project management,0.631
grammar,grammar,0.631
database administration,maintain freelance database,0.631
privacy impact assessments data privacy fundamentals data privacy classification,maintain privacy,0.631
listening,listen actively,0.631
git (software),industrial software,0.631
algorithms,algorithms,0.631
computer science,computer science,0.631
electricity systems,electricity consumption,0.631
binomial distribution,manage distribution channels,0.63
lead engineers,liaise with engineers,0.629
data gathering,gather data,0.629
optimization of optical systems,design optical systems,0.629
technical pm interview,interview techniques,0.629
federated learning,use learning strategies,0.628
sprint planning,plan,0.628
networking on aws,ICT networking hardware,0.627
dynamic movement,movement techniques,0.626
paleontology,paleontology,0.626
cancer genetics,medical genetics,0.626
social media and email marketing strategy,execute email marketing,0.626
art history,teach history,0.626
information technology,computer technology,0.625
tax,tax legislation,0.625
machine learning regression,machine learning,0.625
business writing,business processes,0.624
image processing,digital image processing,0.624
people management,trace people,0.624
infectious diseases,communicable diseases,0.624
journalism,journalism,0.624
missing data,process data,0.624
pivot table,operate table saw,0.622
simulation,computer simulation,0.622
health care,health care system,0.621
business ecosystem,business processes,0.621
marketing digital,plan digital marketing,0.621
mems hardware,hardware industry,0.621
3d modeling,3D modelling,0.62
create oracle sql databases,search databases,0.62
product pricing,pricing strategies,0.62
image segmentation,customer segmentation,0.62
devops documentation,provide technical documentation,0.62
managing people,trace people,0.62
press release,draft press releases,0.619
marketing supply chain finance services,supply chain management,0.619
public health research,address public health issues,0.619
machine learning operations (mlops),machine learning,0.619
kotlin playground,perform playground surveillance,0.618
environmental law,environmental engineering,0.618
compensation and benefits,advise on social security benefits,0.618
spring mvc,types of spring,0.618
database management,manage database,0.618
clinical trial design,assist in clinical trials,0.617
variable pricing,pricing strategies,0.617
network troubleshooting,perform ICT troubleshooting,0.617
machine learning fluency,machine learning,0.617
features and boundaries,determine property boundaries,0.617
generative machine learning,machine learning,0.616
relationships,build business relationships,0.616
security information and event management,carry out event management,0.616
privacy risk assessment,draw up risk assessment,0.615
poisson distribution,manage distribution channels,0.615
- job-portfolio,manage portfolio,0.615
clinical trial management,assist in clinical trials,0.615
business plan,analyse business plans,0.615
jenkins (software),industrial software,0.614
scope (project management),perform project management,0.613
ui design,design process,0.613
email,execute email marketing,0.613
qualitative and quantitative data analysis,quantitative analysis,0.613
novel writing,writing techniques,0.613
scenario development,development delays,0.613
design,design process,0.613
building data science teams,data science,0.613
dolor assessment,assessment processes,0.613
strategic analysis,strategic planning,0.612
aws security,security threats,0.612
skills management,support social service users in skills management,0.612
brand,manage brand assets,0.612
luxury goods,assemble goods,0.611
managing stakeholders,negotiate with stakeholders,0.611
data wrangling,process data,0.611
api security,security threats,0.611
markup language,body language,0.61
sustainable design,promote sustainable interior design,0.61
experimental design,gather experimental data,0.609
a/b testing,use testing equipment,0.609
p values,compare property values,0.609
flowcharts and decision making,participatory decision-making,0.609
project,organise project meetings,0.609
python syntax,grammar,0.609
a/b/n testing,use testing equipment,0.609
analysis,perform data analysis,0.609
social justice,social justice,0.609
inductive transfer,risk transfer,0.609
sharing insights with stakeholders,negotiate with stakeholders,0.608
risk management of supply chain finance,supply chain management,0.608
english language,English,0.607
mathematical logic,mathematical modelling,0.607
serverless development,development delays,0.607
revenue streams,manage revenue,0.606
information radiator,provide information,0.606
c++ syntax,grammar,0.606
fashion systems,trends in fashion,0.606
fashion design,trends in fashion,0.606
pid controller,install lift controller,0.606
market (economics),economics,0.605
integrative nursing,nursing principles,0.605
normal distribution,manage distribution channels,0.605
audio production,audio technology,0.605
quantitative data visualization,manage quantitative data,0.605
capital market,market analysis,0.605
inclusion,work for public inclusion,0.604
inventory control,participate in medical inventory control,0.604
organisational design,organisational structure,0.604
workflow of data science projects,data science,0.603
programming skills,apply basic programming skills,0.603
tableau software,industrial software,0.603
data analysis and modelling,perform data analysis,0.603
software tableau,industrial software,0.603
basic data analysis approaches,perform data analysis,0.603
data mining algorithms,data mining methods,0.603
gps,collect data using GPS,0.603
electronic communications regulations,electronic communication,0.603
predictive analytics,data analytics,0.602
application dependency management,dependency on drugs,0.602
data and databases,search databases,0.602
analytical thinking,think analytically,0.602
receiving feedback,manage feedback,0.601
data lakes,process data,0.601
anatomy of metastasis,dental anatomy,0.601
designing a supply chain finance program,supply chain management,0.601
gaussian distribution,manage distribution channels,0.601
propositional logic,logic,0.601
radiology,diagnostic radiology,0.6
creativity,stimulate creativity in the team,0.6
3. create a change management communication framework,apply change management,0.599
editing,perform image editing,0.599
environmental health,environmental engineering,0.599
korean language,understand written Korean,0.599
financial mismanagement,financial capability,0.599
tiktok marketing,execute marketing plan,0.599
demand forecasting,forecast products' demand,0.598
leadership,adapt leadership styles in healthcare,0.598
crisis intervention,crisis intervention,0.598
visualisation des données (dataviz),data visualisation software,0.597
stock,manage stock rotation,0.597
machine learning modeling,machine learning,0.597
project risk management,apply risk management processes,0.596
market risk management,apply risk management processes,0.596
fuzz testing,use testing equipment,0.596
investing technology,computer technology,0.596
sales,achieve sales targets,0.595
branding communication,communication principles,0.595
marketing channels,channel marketing,0.595
b2b sales,achieve sales targets,0.595
internal control,internal auditing,0.595
technology disruption,computer technology,0.595
outbreak investigation,investigation research methods,0.595
ensemble learning,learning difficulties,0.594
model pipelines,repair pipelines,0.594
database fundamentals,maintain freelance database,0.594
implement climate-aware investment decisions,make investment decisions,0.593
hash table,operate table saw,0.593
media planning and strategies,media planning,0.593
java syntax,grammar,0.593
geographic information system (gis),create GIS reports,0.593
organ systems,mechanical systems,0.593
data visualization software,data visualisation software,0.593
project feasibility,execute feasibility study,0.592
data warehousing,perform warehousing operations,0.592
planning and project management,perform project management,0.591
camera and imaging,cameras,0.591
hospitality management,teach hospitality principles,0.591
data architecture,historic architecture,0.591
blockchain implementation in supply chain finance,supply chain management,0.591
data privacy regulations,maintain privacy,0.591
data staging,process data,0.591
web accessibility,develop strategies for accessibility,0.59
problem solving,design thinking,0.59
communication efficace,communication principles,0.59
professional,show professional responsibility,0.59
decision theory,game theory,0.59
medical language,medical terminology,0.589
process management,management department processes,0.589
classification,fish identification and classification,0.589
reports,create risk reports,0.589
baum-welch algorithm,algorithms,0.589
data science business context,data science,0.588
spreadsheet,use spreadsheets software,0.588
software engineering,industrial software,0.588
portfolio risk models,manage portfolio,0.588
health information technology,health informatics,0.587
mems sensors,test sensors,0.587
risk management plan,apply risk management processes,0.587
sampling,perform sample testing,0.587
ai algorithms in python,algorithms,0.587
economic analysis,analyse economic trends,0.587
science communication,communication sciences,0.587
assembly languages,teach languages,0.587
viterbi algorithm,algorithms,0.586
computer-aided design (cad),use computer-aided translation,0.586
investment,make investment decisions,0.585
supportive communication,communication principles,0.585
paper prototyping,paper chemistry,0.585
data privacy principles,maintain privacy,0.584
health,provide health education,0.584
optical design,design optical systems,0.584
justice,restorative justice,0.583
knuth–morris–pratt (kmp) algorithm,algorithms,0.583
appsheet automation,design automation components,0.583
cloud networking,ICT networking hardware,0.583
compliance,prepare compliance documents,0.582
workbook automation,design automation components,0.582
humanitarian,handle humanitarian response programs,0.582
serverless architecture,historic architecture,0.582
kalkulasi data,process data,0.582
set up advertising on snapchat,advertising techniques,0.581
recursive algorithms,algorithms,0.581
machine learning concepts,machine learning,0.581
aws availability zones,ensure equipment availability,0.58
sre culture,shape corporate culture,0.58
ux research,research design,0.58
how to reduce food waste,conduct research on food waste prevention,0.58
security risk classification,risk identification,0.58
- tableau-software,industrial software,0.58
digital marketing metrics,plan digital marketing,0.58
sas studio,assess studio production,0.579
cloud architecture,historic architecture,0.579
people development,trace people,0.579
designing fpga logic,logic,0.579
robotics,robotics,0.579
behavioral design patterns,test for behavioural patterns,0.578
distributed data processing,process data,0.578
case interview,interview techniques,0.578
organizational conflict,conflict management,0.578
basic programming concepts,apply basic programming skills,0.578
strategy implementation,implement transport strategy,0.577
process control,operate automated process control,0.577
dependency injection,dependency on drugs,0.577
80/20 rule of social media,social media management,0.577
life insurance,insurance law,0.576
cloud engineering,aerospace engineering,0.576
analog hardware,hardware industry,0.576
biology,biology,0.575
sensor manufacturing,manufacturing processes,0.575
practical applications in accounting,accounting,0.575
ai terminology,comprehend financial business terminology,0.575
privacy preservation,maintain privacy,0.575
python programming skills,apply basic programming skills,0.575
fraud investigation,fraud detection,0.575
relational databases (rdbms),database,0.575
graph algorithms,algorithms,0.575
leadership style,adapt leadership styles in healthcare,0.575
sorting algorithms,algorithms,0.574
financial aid management,financial management,0.574
data quality assessment,implement data quality processes,0.574
ui/ux design,design process,0.574
sql and python syntax,grammar,0.574
climate change,climate change impact,0.574
business planning,business processes,0.574
saving money,count money,0.574
camera calibration,cameras,0.574
ransac algorithm,algorithms,0.573
office processes,office software,0.573
iam policies,create insurance policies,0.573
github portfolios,review investment portfolios,0.573
systems security,oversee planning of security systems,0.573
chemistry,analytical chemistry,0.573
dashboard (business),business processes,0.573
sorting algorithm,algorithms,0.573
data replication,inspect data,0.572
regulation,licences regulation,0.572
supply planning,plan,0.572
aws data lakes,process data,0.572
agile communication,communication principles,0.571
search engine marketing,conduct search engine optimisation,0.571
audio processing,audio technology,0.571
health economics,economics,0.571
basis of accounting,accounting,0.571
people skills,trace people,0.57
greedy algorithms,algorithms,0.57
algorithm design,algorithms,0.57
visual arts,visual disability,0.57
cybersecurity risk management,apply risk management processes,0.57
plant,monitor plant production,0.569
customer analytics,data analytics,0.569
strategy interview,interview techniques,0.569
business analysis skills and knowledge,perform business analysis,0.568
priority queue,estimate repair priority,0.568
sql injection,tend injection moulding machine,0.568
greedy algorithm,algorithms,0.568
gibbs sampling,perform sample testing,0.567
budget,manage a healthcare unit budget,0.567
academic writing,academic English,0.567
cloud migration,migration,0.567
fetching data,process data,0.567
strategy,plan marketing strategy,0.567
portfolio optimization,manage portfolio,0.567
activation metrics,manage project metrics,0.566
healthcare leadership,adapt leadership styles in healthcare,0.566
cost,assess operating cost,0.566
software testing,industrial software,0.566
portfolio websites,manage portfolio,0.566
data splitting,use stone splitting techniques,0.566
learning to learn,demonstrate willingness to learn,0.566
consumer neuroscience,consumer protection,0.566
test automation,design automation components,0.565
entrepreneurial finance,show entrepreneurial spirit,0.565
guitar performance,conduct performance tests,0.565
health research,conduct health related research,0.565
hydrogen,operate hydrogen extraction equipment,0.565
security management,security engineering,0.565
advertising effectiveness evaluation,advertising techniques,0.565
dei strategy,plan marketing strategy,0.564
character strengths and virtues,assess character,0.564
virtual class,create a product's virtual model,0.564
machine learning interpretation,machine learning,0.563
information science,provide information,0.563
accounts receivable management,follow up accounts receivables,0.563
multitier architecture,historic architecture,0.563
risk mitigation,manage currency exchange risk mitigation techniques,0.563
agile metrics,manage project metrics,0.563
delete from oracle sql databases,search databases,0.563
azure log analytics,data analytics,0.563
customer willingness to pay,demonstrate willingness to learn,0.562
management consulting,use consulting techniques,0.562
affinity mapping,collect mapping data,0.561
set up a youtube channel,channel marketing,0.561
technical support,technical terminology,0.561
distribution strategies,manage distribution channels,0.561
geology,geology,0.56
data ingestion,inspect data,0.56
positive personality,theories of personality,0.56
reading,lip reading,0.56
information technology (it) management,computer technology,0.56
